id,question,answer,solution,difficulty
inequality_ko_easy_0080,"다음 부등호 퍼즐을 풀어주세요. 빈칸을 채우세요. 1부터 6까지의 숫자를 사용합니다.

1부터 6까지의 각 숫자는 정확히 한 번만 사용해야 합니다.
위치 사이의 부등호 기호 (< 또는 >)를 만족해야 합니다.

퍼즐: _ > 4 > 1 ? 5 > _ < _

규칙:
- '_'는 채워야 할 빈 위치를 나타냅니다
- '<'는 왼쪽 숫자가 오른쪽 숫자보다 작음을 의미합니다
- '>'는 왼쪽 숫자가 오른쪽 숫자보다 큼을 의미합니다
- 1부터 6까지의 각 숫자는 정확히 한 번만 사용됩니다
- '?'는 부등호가 알려지지 않았음을 의미합니다 (< 또는 > 가능)

답을 6자리 숫자열로 제출하세요 (공백 없이).

답 형식 예시:
Answer: 123456",641523,"STEP0=문제 메타 · STEP1=주어진 조건 · STEP2=풀이 전개 · STEP3=답·검산
[STEP 0] 문제 메타
  - 난이도: easy
  - 격자 크기: 6 (1~6의 순열)
  - 주어진 숫자: 3개 · 보이는 부등호: 4 · 숨겨진 부등호: 1
  - 최종 답은 [STEP 3]에서 확정
[STEP 1] 주어진 조건
  - 퍼즐: _ > 4 > 1 ? 5 > _ < _
  - 힌트(위치: 값): 1:4, 2:1, 3:5
[STEP 2] 풀이 전개
  · 요약: 1~6 순열에서 힌트·부등호 전파 → 유일해 확정 · 부등호 5개(가시 4/숨김 1) · SEG 5개
  · 해 벡터: [6, 4, 1, 5, 2, 3]
    [SEG 1] 자리 0↔1 (가시): 6 > 4 → 성립
    [SEG 2] 자리 1↔2 (가시): 4 > 1 → 성립
    [SEG 3] 자리 2↔3 (숨김): 1 < 5 → 성립
    [SEG 4] 자리 3↔4 (가시): 5 > 2 → 성립
    [SEG 5] 자리 4↔5 (가시): 2 < 3 → 성립
[STEP 3] 답·검산
  - 최종 답: 641523
  - 1~6의 각 숫자가 정확히 한 번 사용됨: OK
  - 힌트 위치의 값 일치 및 모든 부등호(가시+숨김)가 성립하는지 [SEG]로 확인.",easy
inequality_ko_easy_0081,"다음 부등호 퍼즐을 풀어주세요. 빈칸을 채우세요. 1부터 6까지의 숫자를 사용합니다.

1부터 6까지의 각 숫자는 정확히 한 번만 사용해야 합니다.
위치 사이의 부등호 기호 (< 또는 >)를 만족해야 합니다.

퍼즐: 4 > _ < 3 ? 1 < _ < _

규칙:
- '_'는 채워야 할 빈 위치를 나타냅니다
- '<'는 왼쪽 숫자가 오른쪽 숫자보다 작음을 의미합니다
- '>'는 왼쪽 숫자가 오른쪽 숫자보다 큼을 의미합니다
- 1부터 6까지의 각 숫자는 정확히 한 번만 사용됩니다
- '?'는 부등호가 알려지지 않았음을 의미합니다 (< 또는 > 가능)

답을 6자리 숫자열로 제출하세요 (공백 없이).

답 형식 예시:
Answer: 123456",423156,"STEP0=문제 메타 · STEP1=주어진 조건 · STEP2=풀이 전개 · STEP3=답·검산
[STEP 0] 문제 메타
  - 난이도: easy
  - 격자 크기: 6 (1~6의 순열)
  - 주어진 숫자: 3개 · 보이는 부등호: 4 · 숨겨진 부등호: 1
  - 최종 답은 [STEP 3]에서 확정
[STEP 1] 주어진 조건
  - 퍼즐: 4 > _ < 3 ? 1 < _ < _
  - 힌트(위치: 값): 0:4, 2:3, 3:1
[STEP 2] 풀이 전개
  · 요약: 1~6 순열에서 힌트·부등호 전파 → 유일해 확정 · 부등호 5개(가시 4/숨김 1) · SEG 5개
  · 해 벡터: [4, 2, 3, 1, 5, 6]
    [SEG 1] 자리 0↔1 (가시): 4 > 2 → 성립
    [SEG 2] 자리 1↔2 (가시): 2 < 3 → 성립
    [SEG 3] 자리 2↔3 (숨김): 3 > 1 → 성립
    [SEG 4] 자리 3↔4 (가시): 1 < 5 → 성립
    [SEG 5] 자리 4↔5 (가시): 5 < 6 → 성립
[STEP 3] 답·검산
  - 최종 답: 423156
  - 1~6의 각 숫자가 정확히 한 번 사용됨: OK
  - 힌트 위치의 값 일치 및 모든 부등호(가시+숨김)가 성립하는지 [SEG]로 확인.",easy
inequality_ko_easy_0082,"다음 부등호 퍼즐을 풀어주세요. 빈칸을 채우세요. 1부터 6까지의 숫자를 사용합니다.

1부터 6까지의 각 숫자는 정확히 한 번만 사용해야 합니다.
위치 사이의 부등호 기호 (< 또는 >)를 만족해야 합니다.

퍼즐: 4 > _ < 3 > 1 ? _ > _

규칙:
- '_'는 채워야 할 빈 위치를 나타냅니다
- '<'는 왼쪽 숫자가 오른쪽 숫자보다 작음을 의미합니다
- '>'는 왼쪽 숫자가 오른쪽 숫자보다 큼을 의미합니다
- 1부터 6까지의 각 숫자는 정확히 한 번만 사용됩니다
- '?'는 부등호가 알려지지 않았음을 의미합니다 (< 또는 > 가능)

답을 6자리 숫자열로 제출하세요 (공백 없이).

답 형식 예시:
Answer: 123456",423165,"STEP0=문제 메타 · STEP1=주어진 조건 · STEP2=풀이 전개 · STEP3=답·검산
[STEP 0] 문제 메타
  - 난이도: easy
  - 격자 크기: 6 (1~6의 순열)
  - 주어진 숫자: 3개 · 보이는 부등호: 4 · 숨겨진 부등호: 1
  - 최종 답은 [STEP 3]에서 확정
[STEP 1] 주어진 조건
  - 퍼즐: 4 > _ < 3 > 1 ? _ > _
  - 힌트(위치: 값): 0:4, 2:3, 3:1
[STEP 2] 풀이 전개
  · 요약: 1~6 순열에서 힌트·부등호 전파 → 유일해 확정 · 부등호 5개(가시 4/숨김 1) · SEG 5개
  · 해 벡터: [4, 2, 3, 1, 6, 5]
    [SEG 1] 자리 0↔1 (가시): 4 > 2 → 성립
    [SEG 2] 자리 1↔2 (가시): 2 < 3 → 성립
    [SEG 3] 자리 2↔3 (가시): 3 > 1 → 성립
    [SEG 4] 자리 3↔4 (숨김): 1 < 6 → 성립
    [SEG 5] 자리 4↔5 (가시): 6 > 5 → 성립
[STEP 3] 답·검산
  - 최종 답: 423165
  - 1~6의 각 숫자가 정확히 한 번 사용됨: OK
  - 힌트 위치의 값 일치 및 모든 부등호(가시+숨김)가 성립하는지 [SEG]로 확인.",easy
inequality_ko_easy_0083,"다음 부등호 퍼즐을 풀어주세요. 빈칸을 채우세요. 1부터 5까지의 숫자를 사용합니다.

1부터 5까지의 각 숫자는 정확히 한 번만 사용해야 합니다.
위치 사이의 부등호 기호 (< 또는 >)를 만족해야 합니다.

퍼즐: 4 > _ > _ < _ ? 1

규칙:
- '_'는 채워야 할 빈 위치를 나타냅니다
- '<'는 왼쪽 숫자가 오른쪽 숫자보다 작음을 의미합니다
- '>'는 왼쪽 숫자가 오른쪽 숫자보다 큼을 의미합니다
- 1부터 5까지의 각 숫자는 정확히 한 번만 사용됩니다
- '?'는 부등호가 알려지지 않았음을 의미합니다 (< 또는 > 가능)

답을 5자리 숫자열로 제출하세요 (공백 없이).

답 형식 예시:
Answer: 12345",43251,"STEP0=문제 메타 · STEP1=주어진 조건 · STEP2=풀이 전개 · STEP3=답·검산
[STEP 0] 문제 메타
  - 난이도: easy
  - 격자 크기: 5 (1~5의 순열)
  - 주어진 숫자: 2개 · 보이는 부등호: 3 · 숨겨진 부등호: 1
  - 최종 답은 [STEP 3]에서 확정
[STEP 1] 주어진 조건
  - 퍼즐: 4 > _ > _ < _ ? 1
  - 힌트(위치: 값): 0:4, 4:1
[STEP 2] 풀이 전개
  · 요약: 1~5 순열에서 힌트·부등호 전파 → 유일해 확정 · 부등호 4개(가시 3/숨김 1) · SEG 4개
  · 해 벡터: [4, 3, 2, 5, 1]
    [SEG 1] 자리 0↔1 (가시): 4 > 3 → 성립
    [SEG 2] 자리 1↔2 (가시): 3 > 2 → 성립
    [SEG 3] 자리 2↔3 (가시): 2 < 5 → 성립
    [SEG 4] 자리 3↔4 (숨김): 5 > 1 → 성립
[STEP 3] 답·검산
  - 최종 답: 43251
  - 1~5의 각 숫자가 정확히 한 번 사용됨: OK
  - 힌트 위치의 값 일치 및 모든 부등호(가시+숨김)가 성립하는지 [SEG]로 확인.",easy
inequality_ko_easy_0084,"다음 부등호 퍼즐을 풀어주세요. 빈칸을 채우세요. 1부터 5까지의 숫자를 사용합니다.

1부터 5까지의 각 숫자는 정확히 한 번만 사용해야 합니다.
위치 사이의 부등호 기호 (< 또는 >)를 만족해야 합니다.

퍼즐: 2 < _ > 4 ? _ < _

규칙:
- '_'는 채워야 할 빈 위치를 나타냅니다
- '<'는 왼쪽 숫자가 오른쪽 숫자보다 작음을 의미합니다
- '>'는 왼쪽 숫자가 오른쪽 숫자보다 큼을 의미합니다
- 1부터 5까지의 각 숫자는 정확히 한 번만 사용됩니다
- '?'는 부등호가 알려지지 않았음을 의미합니다 (< 또는 > 가능)

답을 5자리 숫자열로 제출하세요 (공백 없이).

답 형식 예시:
Answer: 12345",25413,"STEP0=문제 메타 · STEP1=주어진 조건 · STEP2=풀이 전개 · STEP3=답·검산
[STEP 0] 문제 메타
  - 난이도: easy
  - 격자 크기: 5 (1~5의 순열)
  - 주어진 숫자: 2개 · 보이는 부등호: 3 · 숨겨진 부등호: 1
  - 최종 답은 [STEP 3]에서 확정
[STEP 1] 주어진 조건
  - 퍼즐: 2 < _ > 4 ? _ < _
  - 힌트(위치: 값): 0:2, 2:4
[STEP 2] 풀이 전개
  · 요약: 1~5 순열에서 힌트·부등호 전파 → 유일해 확정 · 부등호 4개(가시 3/숨김 1) · SEG 4개
  · 해 벡터: [2, 5, 4, 1, 3]
    [SEG 1] 자리 0↔1 (가시): 2 < 5 → 성립
    [SEG 2] 자리 1↔2 (가시): 5 > 4 → 성립
    [SEG 3] 자리 2↔3 (숨김): 4 > 1 → 성립
    [SEG 4] 자리 3↔4 (가시): 1 < 3 → 성립
[STEP 3] 답·검산
  - 최종 답: 25413
  - 1~5의 각 숫자가 정확히 한 번 사용됨: OK
  - 힌트 위치의 값 일치 및 모든 부등호(가시+숨김)가 성립하는지 [SEG]로 확인.",easy
inequality_ko_easy_0085,"다음 부등호 퍼즐을 풀어주세요. 빈칸을 채우세요. 1부터 6까지의 숫자를 사용합니다.

1부터 6까지의 각 숫자는 정확히 한 번만 사용해야 합니다.
위치 사이의 부등호 기호 (< 또는 >)를 만족해야 합니다.

퍼즐: 4 < 6 ? _ < _ < _ > 2

규칙:
- '_'는 채워야 할 빈 위치를 나타냅니다
- '<'는 왼쪽 숫자가 오른쪽 숫자보다 작음을 의미합니다
- '>'는 왼쪽 숫자가 오른쪽 숫자보다 큼을 의미합니다
- 1부터 6까지의 각 숫자는 정확히 한 번만 사용됩니다
- '?'는 부등호가 알려지지 않았음을 의미합니다 (< 또는 > 가능)

답을 6자리 숫자열로 제출하세요 (공백 없이).

답 형식 예시:
Answer: 123456",461352,"STEP0=문제 메타 · STEP1=주어진 조건 · STEP2=풀이 전개 · STEP3=답·검산
[STEP 0] 문제 메타
  - 난이도: easy
  - 격자 크기: 6 (1~6의 순열)
  - 주어진 숫자: 3개 · 보이는 부등호: 4 · 숨겨진 부등호: 1
  - 최종 답은 [STEP 3]에서 확정
[STEP 1] 주어진 조건
  - 퍼즐: 4 < 6 ? _ < _ < _ > 2
  - 힌트(위치: 값): 0:4, 1:6, 5:2
[STEP 2] 풀이 전개
  · 요약: 1~6 순열에서 힌트·부등호 전파 → 유일해 확정 · 부등호 5개(가시 4/숨김 1) · SEG 5개
  · 해 벡터: [4, 6, 1, 3, 5, 2]
    [SEG 1] 자리 0↔1 (가시): 4 < 6 → 성립
    [SEG 2] 자리 1↔2 (숨김): 6 > 1 → 성립
    [SEG 3] 자리 2↔3 (가시): 1 < 3 → 성립
    [SEG 4] 자리 3↔4 (가시): 3 < 5 → 성립
    [SEG 5] 자리 4↔5 (가시): 5 > 2 → 성립
[STEP 3] 답·검산
  - 최종 답: 461352
  - 1~6의 각 숫자가 정확히 한 번 사용됨: OK
  - 힌트 위치의 값 일치 및 모든 부등호(가시+숨김)가 성립하는지 [SEG]로 확인.",easy
inequality_ko_easy_0086,"다음 부등호 퍼즐을 풀어주세요. 빈칸을 채우세요. 1부터 6까지의 숫자를 사용합니다.

1부터 6까지의 각 숫자는 정확히 한 번만 사용해야 합니다.
위치 사이의 부등호 기호 (< 또는 >)를 만족해야 합니다.

퍼즐: 3 > 2 ? 4 < 6 > _ < _

규칙:
- '_'는 채워야 할 빈 위치를 나타냅니다
- '<'는 왼쪽 숫자가 오른쪽 숫자보다 작음을 의미합니다
- '>'는 왼쪽 숫자가 오른쪽 숫자보다 큼을 의미합니다
- 1부터 6까지의 각 숫자는 정확히 한 번만 사용됩니다
- '?'는 부등호가 알려지지 않았음을 의미합니다 (< 또는 > 가능)

답을 6자리 숫자열로 제출하세요 (공백 없이).

답 형식 예시:
Answer: 123456",324615,"STEP0=문제 메타 · STEP1=주어진 조건 · STEP2=풀이 전개 · STEP3=답·검산
[STEP 0] 문제 메타
  - 난이도: easy
  - 격자 크기: 6 (1~6의 순열)
  - 주어진 숫자: 4개 · 보이는 부등호: 4 · 숨겨진 부등호: 1
  - 최종 답은 [STEP 3]에서 확정
[STEP 1] 주어진 조건
  - 퍼즐: 3 > 2 ? 4 < 6 > _ < _
  - 힌트(위치: 값): 0:3, 1:2, 2:4, 3:6
[STEP 2] 풀이 전개
  · 요약: 1~6 순열에서 힌트·부등호 전파 → 유일해 확정 · 부등호 5개(가시 4/숨김 1) · SEG 5개
  · 해 벡터: [3, 2, 4, 6, 1, 5]
    [SEG 1] 자리 0↔1 (가시): 3 > 2 → 성립
    [SEG 2] 자리 1↔2 (숨김): 2 < 4 → 성립
    [SEG 3] 자리 2↔3 (가시): 4 < 6 → 성립
    [SEG 4] 자리 3↔4 (가시): 6 > 1 → 성립
    [SEG 5] 자리 4↔5 (가시): 1 < 5 → 성립
[STEP 3] 답·검산
  - 최종 답: 324615
  - 1~6의 각 숫자가 정확히 한 번 사용됨: OK
  - 힌트 위치의 값 일치 및 모든 부등호(가시+숨김)가 성립하는지 [SEG]로 확인.",easy
inequality_ko_easy_0087,"다음 부등호 퍼즐을 풀어주세요. 빈칸을 채우세요. 1부터 6까지의 숫자를 사용합니다.

1부터 6까지의 각 숫자는 정확히 한 번만 사용해야 합니다.
위치 사이의 부등호 기호 (< 또는 >)를 만족해야 합니다.

퍼즐: _ > 4 ? _ < _ < _ < 6

규칙:
- '_'는 채워야 할 빈 위치를 나타냅니다
- '<'는 왼쪽 숫자가 오른쪽 숫자보다 작음을 의미합니다
- '>'는 왼쪽 숫자가 오른쪽 숫자보다 큼을 의미합니다
- 1부터 6까지의 각 숫자는 정확히 한 번만 사용됩니다
- '?'는 부등호가 알려지지 않았음을 의미합니다 (< 또는 > 가능)

답을 6자리 숫자열로 제출하세요 (공백 없이).

답 형식 예시:
Answer: 123456",541236,"STEP0=문제 메타 · STEP1=주어진 조건 · STEP2=풀이 전개 · STEP3=답·검산
[STEP 0] 문제 메타
  - 난이도: easy
  - 격자 크기: 6 (1~6의 순열)
  - 주어진 숫자: 2개 · 보이는 부등호: 4 · 숨겨진 부등호: 1
  - 최종 답은 [STEP 3]에서 확정
[STEP 1] 주어진 조건
  - 퍼즐: _ > 4 ? _ < _ < _ < 6
  - 힌트(위치: 값): 1:4, 5:6
[STEP 2] 풀이 전개
  · 요약: 1~6 순열에서 힌트·부등호 전파 → 유일해 확정 · 부등호 5개(가시 4/숨김 1) · SEG 5개
  · 해 벡터: [5, 4, 1, 2, 3, 6]
    [SEG 1] 자리 0↔1 (가시): 5 > 4 → 성립
    [SEG 2] 자리 1↔2 (숨김): 4 > 1 → 성립
    [SEG 3] 자리 2↔3 (가시): 1 < 2 → 성립
    [SEG 4] 자리 3↔4 (가시): 2 < 3 → 성립
    [SEG 5] 자리 4↔5 (가시): 3 < 6 → 성립
[STEP 3] 답·검산
  - 최종 답: 541236
  - 1~6의 각 숫자가 정확히 한 번 사용됨: OK
  - 힌트 위치의 값 일치 및 모든 부등호(가시+숨김)가 성립하는지 [SEG]로 확인.",easy
inequality_ko_easy_0088,"다음 부등호 퍼즐을 풀어주세요. 빈칸을 채우세요. 1부터 6까지의 숫자를 사용합니다.

1부터 6까지의 각 숫자는 정확히 한 번만 사용해야 합니다.
위치 사이의 부등호 기호 (< 또는 >)를 만족해야 합니다.

퍼즐: _ > 5 ? 3 > _ < _ < _

규칙:
- '_'는 채워야 할 빈 위치를 나타냅니다
- '<'는 왼쪽 숫자가 오른쪽 숫자보다 작음을 의미합니다
- '>'는 왼쪽 숫자가 오른쪽 숫자보다 큼을 의미합니다
- 1부터 6까지의 각 숫자는 정확히 한 번만 사용됩니다
- '?'는 부등호가 알려지지 않았음을 의미합니다 (< 또는 > 가능)

답을 6자리 숫자열로 제출하세요 (공백 없이).

답 형식 예시:
Answer: 123456",653124,"STEP0=문제 메타 · STEP1=주어진 조건 · STEP2=풀이 전개 · STEP3=답·검산
[STEP 0] 문제 메타
  - 난이도: easy
  - 격자 크기: 6 (1~6의 순열)
  - 주어진 숫자: 2개 · 보이는 부등호: 4 · 숨겨진 부등호: 1
  - 최종 답은 [STEP 3]에서 확정
[STEP 1] 주어진 조건
  - 퍼즐: _ > 5 ? 3 > _ < _ < _
  - 힌트(위치: 값): 1:5, 2:3
[STEP 2] 풀이 전개
  · 요약: 1~6 순열에서 힌트·부등호 전파 → 유일해 확정 · 부등호 5개(가시 4/숨김 1) · SEG 5개
  · 해 벡터: [6, 5, 3, 1, 2, 4]
    [SEG 1] 자리 0↔1 (가시): 6 > 5 → 성립
    [SEG 2] 자리 1↔2 (숨김): 5 > 3 → 성립
    [SEG 3] 자리 2↔3 (가시): 3 > 1 → 성립
    [SEG 4] 자리 3↔4 (가시): 1 < 2 → 성립
    [SEG 5] 자리 4↔5 (가시): 2 < 4 → 성립
[STEP 3] 답·검산
  - 최종 답: 653124
  - 1~6의 각 숫자가 정확히 한 번 사용됨: OK
  - 힌트 위치의 값 일치 및 모든 부등호(가시+숨김)가 성립하는지 [SEG]로 확인.",easy
inequality_ko_easy_0089,"다음 부등호 퍼즐을 풀어주세요. 빈칸을 채우세요. 1부터 6까지의 숫자를 사용합니다.

1부터 6까지의 각 숫자는 정확히 한 번만 사용해야 합니다.
위치 사이의 부등호 기호 (< 또는 >)를 만족해야 합니다.

퍼즐: 4 > _ > _ ? _ > 2 < 6

규칙:
- '_'는 채워야 할 빈 위치를 나타냅니다
- '<'는 왼쪽 숫자가 오른쪽 숫자보다 작음을 의미합니다
- '>'는 왼쪽 숫자가 오른쪽 숫자보다 큼을 의미합니다
- 1부터 6까지의 각 숫자는 정확히 한 번만 사용됩니다
- '?'는 부등호가 알려지지 않았음을 의미합니다 (< 또는 > 가능)

답을 6자리 숫자열로 제출하세요 (공백 없이).

답 형식 예시:
Answer: 123456",431526,"STEP0=문제 메타 · STEP1=주어진 조건 · STEP2=풀이 전개 · STEP3=답·검산
[STEP 0] 문제 메타
  - 난이도: easy
  - 격자 크기: 6 (1~6의 순열)
  - 주어진 숫자: 3개 · 보이는 부등호: 4 · 숨겨진 부등호: 1
  - 최종 답은 [STEP 3]에서 확정
[STEP 1] 주어진 조건
  - 퍼즐: 4 > _ > _ ? _ > 2 < 6
  - 힌트(위치: 값): 0:4, 4:2, 5:6
[STEP 2] 풀이 전개
  · 요약: 1~6 순열에서 힌트·부등호 전파 → 유일해 확정 · 부등호 5개(가시 4/숨김 1) · SEG 5개
  · 해 벡터: [4, 3, 1, 5, 2, 6]
    [SEG 1] 자리 0↔1 (가시): 4 > 3 → 성립
    [SEG 2] 자리 1↔2 (가시): 3 > 1 → 성립
    [SEG 3] 자리 2↔3 (숨김): 1 < 5 → 성립
    [SEG 4] 자리 3↔4 (가시): 5 > 2 → 성립
    [SEG 5] 자리 4↔5 (가시): 2 < 6 → 성립
[STEP 3] 답·검산
  - 최종 답: 431526
  - 1~6의 각 숫자가 정확히 한 번 사용됨: OK
  - 힌트 위치의 값 일치 및 모든 부등호(가시+숨김)가 성립하는지 [SEG]로 확인.",easy
inequality_ko_easy_0090,"다음 부등호 퍼즐을 풀어주세요. 빈칸을 채우세요. 1부터 6까지의 숫자를 사용합니다.

1부터 6까지의 각 숫자는 정확히 한 번만 사용해야 합니다.
위치 사이의 부등호 기호 (< 또는 >)를 만족해야 합니다.

퍼즐: 4 < 5 > 2 ? 1 < _ > _

규칙:
- '_'는 채워야 할 빈 위치를 나타냅니다
- '<'는 왼쪽 숫자가 오른쪽 숫자보다 작음을 의미합니다
- '>'는 왼쪽 숫자가 오른쪽 숫자보다 큼을 의미합니다
- 1부터 6까지의 각 숫자는 정확히 한 번만 사용됩니다
- '?'는 부등호가 알려지지 않았음을 의미합니다 (< 또는 > 가능)

답을 6자리 숫자열로 제출하세요 (공백 없이).

답 형식 예시:
Answer: 123456",452163,"STEP0=문제 메타 · STEP1=주어진 조건 · STEP2=풀이 전개 · STEP3=답·검산
[STEP 0] 문제 메타
  - 난이도: easy
  - 격자 크기: 6 (1~6의 순열)
  - 주어진 숫자: 4개 · 보이는 부등호: 4 · 숨겨진 부등호: 1
  - 최종 답은 [STEP 3]에서 확정
[STEP 1] 주어진 조건
  - 퍼즐: 4 < 5 > 2 ? 1 < _ > _
  - 힌트(위치: 값): 0:4, 1:5, 2:2, 3:1
[STEP 2] 풀이 전개
  · 요약: 1~6 순열에서 힌트·부등호 전파 → 유일해 확정 · 부등호 5개(가시 4/숨김 1) · SEG 5개
  · 해 벡터: [4, 5, 2, 1, 6, 3]
    [SEG 1] 자리 0↔1 (가시): 4 < 5 → 성립
    [SEG 2] 자리 1↔2 (가시): 5 > 2 → 성립
    [SEG 3] 자리 2↔3 (숨김): 2 > 1 → 성립
    [SEG 4] 자리 3↔4 (가시): 1 < 6 → 성립
    [SEG 5] 자리 4↔5 (가시): 6 > 3 → 성립
[STEP 3] 답·검산
  - 최종 답: 452163
  - 1~6의 각 숫자가 정확히 한 번 사용됨: OK
  - 힌트 위치의 값 일치 및 모든 부등호(가시+숨김)가 성립하는지 [SEG]로 확인.",easy
